timestamp,sim_time,iteration,true_pos_x,true_pos_y,true_pos_z,imu_valid,imu_roll,imu_pitch,imu_yaw,imu_acc_x,imu_acc_y,imu_acc_z,usbl_valid,usbl_pos_x,usbl_pos_y,usbl_pos_z,usbl_fix_used,depth_valid,depth_measurement,kf_pos_x,kf_pos_y,kf_pos_z,kf_vel_x,kf_vel_y,kf_vel_z,kf_acc_x,kf_acc_y,kf_acc_z,error_norm
21:32:57.262,0.000,0,10.168406,0.000000,-4.647959,1,0.000000,0.000000,1.542644,0.002092,0.265081,-0.011172,1,10.203894,0.286827,-4.569065,1,1,4.653884,10.203115,0.280531,-4.645408,0.001733,0.014010,0.000127,0.000351,-0.000033,0.000003,0.282682
21:32:57.313,0.050,1,10.168125,0.074999,-4.647969,1,0.000000,0.000000,1.579124,-0.003918,0.280321,0.009424,1,9.928753,0.230602,-4.593837,0,1,4.717016,10.202144,0.281233,-4.645366,-0.026256,0.013878,0.001068,-0.003914,0.280069,0.009416,0.209037
21:32:57.363,0.100,2,10.167281,0.149994,-4.647998,1,0.000000,0.000000,1.553019,0.044162,0.226224,-0.000254,1,10.000061,-0.035531,-4.661478,0,1,4.717016,10.200754,0.282165,-4.645349,-0.036182,0.017483,0.000814,0.020113,0.253158,0.004583,0.136369
21:32:57.413,0.150,3,10.165876,0.224981,-4.648048,1,0.000000,0.000000,1.546110,0.019592,0.215314,-0.000358,1,9.848902,0.090944,-4.565438,0,1,4.635695,10.198866,0.283066,-4.636580,-0.046291,0.018727,0.053739,0.019940,0.240547,0.002939,0.067777
21:32:57.464,0.200,4,10.163909,0.299955,-4.648116,1,0.000000,0.000000,1.595252,0.051416,0.231000,-0.008090,1,10.010932,0.281474,-4.776052,0,1,4.635695,10.196325,0.284255,-4.633911,-0.057728,0.021391,0.053481,0.027807,0.238161,0.000182,0.038718
21:32:57.514,0.250,5,10.161380,0.374912,-4.648205,1,0.000000,0.000000,1.626362,0.010520,0.234444,-0.025199,1,10.147095,0.275170,-4.467307,1,1,4.741968,10.156739,0.277301,-4.593355,-0.177107,-0.001613,0.228097,0.027806,0.238165,0.000203,0.112063
21:32:57.564,0.300,6,10.158289,0.449848,-4.648312,1,0.000000,0.000000,1.616980,0.039363,0.205178,-0.019853,1,10.271999,0.352416,-4.732708,0,1,4.741968,10.147719,0.277288,-4.703704,-0.187443,-0.000174,-0.247644,0.030117,0.231569,-0.003871,0.181540
21:32:57.614,0.350,7,10.154636,0.524759,-4.648440,1,0.000000,0.000000,1.590063,0.011967,0.208124,-0.028126,1,10.254275,0.280336,-4.460567,0,1,4.689564,10.138190,0.277210,-4.716151,-0.197870,0.000228,-0.248692,0.027092,0.227662,-0.007913,0.257168
21:32:57.664,0.400,8,10.150422,0.599640,-4.648587,1,0.000000,0.000000,1.637582,0.063247,0.225406,-0.005962,1,10.122318,0.651156,-5.076822,0,1,4.689564,10.128023,0.277495,-4.728588,-0.209249,0.002617,-0.249015,0.032257,0.227340,-0.007634,0.332685
21:32:57.715,0.450,9,10.145647,0.674488,-4.648754,1,0.000000,0.000000,1.626810,-0.039142,0.203830,0.017698,1,10.255881,0.352644,-4.507142,0,1,4.718135,10.117486,0.277041,-4.725498,-0.219421,0.000077,-0.204775,0.023333,0.224401,-0.004454,0.405767
21:32:57.766,0.500,10,10.140311,0.749297,-4.648940,1,0.000000,0.000000,1.659286,-0.007599,0.202753,-0.014018,1,10.162149,0.626750,-4.709365,1,1,4.718135,10.148533,0.541598,-4.733369,-0.136300,0.590635,-0.198761,0.023371,0.224395,-0.004451,0.224355
21:32:57.816,0.550,11,10.134415,0.824064,-4.649146,1,0.000000,0.000000,1.638866,-0.025661,0.219569,-0.012252,1,9.888509,0.725760,-4.435828,0,1,4.610207,10.141463,0.570934,-4.743347,-0.147301,0.589164,-0.199266,0.017924,0.223858,-0.005318,0.270183
21:32:57.866,0.600,12,10.127958,0.898785,-4.649372,1,0.000000,0.000000,1.632558,-0.065194,0.197595,-0.078070,1,9.973424,0.856536,-4.608535,0,1,4.610207,10.133982,0.599933,-4.672207,-0.157331,0.586131,-0.020775,0.009613,0.221232,-0.012466,0.299784
21:32:57.916,0.650,13,10.120941,0.973456,-4.649617,1,0.000000,0.000000,1.653286,-0.094144,0.226027,0.006745,1,10.252117,0.667906,-4.814199,0,1,4.662735,10.125835,0.628497,-4.673189,-0.168369,0.581489,-0.020778,0.000181,0.221668,-0.010720,0.345798
21:32:57.966,0.700,14,10.113365,1.048072,-4.649881,1,0.000000,0.000000,1.670203,0.049406,0.207176,0.022830,1,10.077537,0.955786,-4.754463,0,1,4.662735,10.117244,0.657964,-4.674074,-0.178917,0.582463,-0.020180,0.004283,0.220461,-0.007924,0.390877
21:32:58.017,0.750,15,10.105230,1.122628,-4.650165,1,0.000000,0.000000,1.651829,0.004512,0.229876,-0.008977,1,10.168065,1.193235,-4.598209,1,1,4.698896,10.148188,1.025667,-4.682476,-0.122945,1.146415,-0.034177,0.004353,0.220449,-0.007942,0.110865
21:32:58.067,0.800,16,10.096536,1.197122,-4.650469,1,0.000000,0.000000,1.702950,0.011887,0.259713,-0.004799,1,10.046208,1.230402,-4.888129,0,1,4.698896,10.141573,1.082983,-4.684181,-0.135286,1.145343,-0.034471,0.004933,0.223469,-0.007700,0.127250
21:32:58.117,0.850,17,10.087284,1.271548,-4.650792,1,0.000000,0.000000,1.707388,0.042503,0.192753,-0.071758,1,10.202996,1.154065,-4.637128,0,1,4.716050,10.134709,1.140464,-4.686281,-0.145392,1.145500,-0.037029,0.007616,0.221275,-0.012275,0.143846
21:32:58.167,0.900,18,10.077474,1.345903,-4.651135,1,0.000000,0.000000,1.698562,0.080529,0.260261,-0.048359,1,9.965672,1.161501,-4.577192,0,1,4.716050,10.126833,1.198247,-4.700777,-0.158069,1.147032,-0.058612,0.012477,0.223874,-0.014718,0.163411
